segreg flgctrl inout string break cond shftrot decimal binary conver stack control branch bit logical arith datamov
0 0 0 1 0 0 0 0 0 0 8 1 2 0 0 4 8
0 0 0 1 0 0 0 0 0 0 7 0 2 0 1 2 8
0 0 0 1 0 0 0 0 0 0 5 1 1 0 2 5 13
0 0 0 1 0 0 0 0 0 0 15 0 2 0 3 4 27
0 0 0 1 0 0 0 0 0 0 5 1 1 0 1 5 13
0 0 0 1 0 0 0 0 0 0 5 0 1 0 1 6 14
0 0 0 1 0 0 0 0 0 0 64 16 7 0 14 64 348
0 0 0 1 0 0 0 0 0 0 21 0 9 0 2 16 67
0 0 0 1 0 0 0 0 0 0 7 1 1 0 2 5 30
0 0 0 1 0 0 0 0 0 0 6 0 1 0 0 3 7
0 0 0 1 0 0 0 0 0 0 8 2 2 0 3 2 14
0 0 0 1 0 0 0 0 0 0 4 0 1 0 4 2 6
0 0 0 1 0 0 0 0 0 0 6 0 6 0 4 13 57
0 0 0 0 0 0 0 0 0 0 0 0 2131 0 0 3699 3701
0 0 0 1 0 0 0 0 0 0 14 0 1 0 5 6 39
0 0 0 1 0 0 0 0 0 0 10 0 5 0 2 4 30
0 0 0 1 0 0 0 0 0 0 8 0 1 0 2 6 24
0 0 0 1 0 0 0 0 0 0 6 0 1 0 0 5 6
0 0 0 1 0 0 0 0 0 0 87 10 10 0 90 40 590
0 0 0 1 0 0 0 0 0 0 8 2 9 0 4 7 31
0 0 0 1 0 0 0 0 0 0 7 1 13 0 13 5 29
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 3 4
0 0 0 1 0 0 0 0 0 0 7 3 1 0 11 8 43
0 0 0 1 0 0 0 0 0 0 12 0 1 0 0 34 153
0 0 0 0 0 0 0 0 0 0 2 0 1090 0 1090 2179 2192
0 0 0 1 0 0 0 0 0 0 8 0 114 0 4 141 406
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 8 19
0 0 0 1 0 0 0 0 0 0 7 0 1 0 3 3 11
0 0 0 1 0 0 0 0 0 0 10 0 1 0 2 9 13
0 0 0 1 0 0 0 0 0 0 5 0 1 0 1 3 6
0 0 0 1 0 0 0 0 0 0 7 1 2 0 3 5 20
0 0 0 1 0 0 0 0 0 0 7 1 1 0 4 5 21
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 1 0 0 0 0 0 0 7 0 15 0 1 19 30
0 0 0 1 0 0 0 0 0 0 10 0 4 0 0 5 15
0 0 0 1 0 0 0 0 0 0 7 0 1 0 0 3 10
0 0 0 1 0 0 0 0 0 0 7 0 1 0 0 4 14
0 0 0 1 0 0 0 0 0 0 6 1 1 0 1 3 9
0 0 0 1 0 0 0 0 0 0 4 0 4 0 0 88 174
0 0 0 1 0 0 0 0 0 0 5 1 56 0 5 102 230
0 0 0 1 0 0 0 0 0 0 262 128 515 0 0 516 902
0 0 0 1 0 0 0 0 0 0 6 0 15 0 7 10 72
0 0 0 1 0 0 0 0 0 0 10 3 1 0 8 7 84
0 0 0 1 0 0 0 0 0 0 7 2 6 0 0 6 21
0 0 0 1 0 0 0 0 0 0 8 1 1 0 0 4 21
0 0 0 1 0 0 0 0 0 0 10 3 5 0 0 9 17
0 0 0 1 0 0 0 0 0 0 7 1 2 0 0 7 15
0 0 0 1 0 0 0 0 0 0 7 1 2 0 0 7 15
0 0 0 1 0 0 0 0 0 0 13 5 1 0 16 14 110
0 0 0 1 0 0 0 0 0 0 5 0 1 0 2 5 26
0 0 0 1 0 0 0 0 0 0 6 0 1 0 3 2 23
0 0 0 1 0 0 0 0 0 0 7 0 2 0 1 2 14
0 0 0 1 0 0 0 0 0 0 6 0 3 0 2 4 28
0 0 0 1 0 0 0 0 0 0 6 0 2 0 0 4 10
0 0 0 1 0 0 0 0 0 0 10 1 2 0 1 3 18
0 0 0 1 0 0 0 0 0 0 24 6 9 0 8 15 81
0 0 0 1 0 0 0 0 0 0 44 0 1 0 10 32 131
0 0 0 1 0 0 0 0 0 0 5 0 1 0 0 3 4
