control branch bit logical arith datamov
1 6 2 0 0 74 
0 3 4 6 0 58 
0 9 0 0 0 64 
0 2 2 0 0 67 
0 12 3 0 12 138 
0 11 2 0 0 89 
0 15 3 0 18 162 
0 14 2 0 0 102 
0 18 3 0 24 189 
0 9 3 0 0 126 
0 2 2 0 0 67 
0 9 3 0 0 126 
0 2 2 0 0 102 
0 12 3 0 0 165 
0 5 2 0 0 52 
0 9 3 0 6 111 
0 8 2 0 0 67 
0 2 0 0 0 19 
0 5 2 3 22 88 
0 1 0 2 0 26 
0 4 1 0 0 55 
0 4 0 0 0 44 
0 0 0 0 0 0 
0 1 2 4 4 32 
0 1 4 4 0 40 
0 0 0 0 0 0 
0 0 0 1 0 12 
0 2 24 0 68 37 
0 2 0 3 0 33 
0 2 0 1 0 27 
0 2 0 5 5 35 
0 1 0 0 10 31 
0 12 0 3 21 103 
0 7 8 2 0 197 
0 5 1 3 8 50 
0 2 2 0 0 40 
0 2 2 2 0 82 
0 19 1 2 87 24 
0 1 1 4 1 28 
0 2 1 0 0 54 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 1 2 5 0 41 
0 193 197 103 527 278 
0 2 0 4 0 44 
0 1 0 2 1 17 
0 1 0 2 0 26 
0 1 0 24 0 14 
0 20 0 25 16 244 
0 20 0 25 32 324 
0 20 0 25 64 482 
0 1 2 0 0 107 
0 1 1 11 3 36 
0 2 0 0 0 25 
0 0 0 0 0 6 
1 4 2 0 14 69 
0 0 0 0 0 0 
0 4 0 2 8 14 
0 0 0 0 0 0 
0 1 0 2 0 23 
0 0 0 7 44 99 
0 10 3 10 20 72 
0 92 118 74 344 193 
0 644 0 2 2532 8885 
0 3 0 8 0 39 
0 3 4 0 0 154 
0 5 2 8 0 80 
0 0 0 0 0 0 
0 2 1 5 0 48 
0 0 0 2 0 34 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 4 0 3 0 36 
0 1 0 2 0 18 
0 18 2 8 22 290 
0 1 0 3 0 22 
0 8 2 3 8 98 
0 0 0 0 0 0 
0 63 2 75 625 725 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 1 0 0 0 18 
0 6 0 2 0 36 
0 9 2 4 16 55 
0 3 3 12 30 212 
0 2 0 1 2 30 
0 2 0 0 0 44 
0 2 0 1 0 23 
0 1 0 0 0 4 
0 2 1 0 0 38 
0 2 0 0 0 293 
0 0 0 0 0 0 
0 0 0 0 0 4 
0 38 0 10 170 65 
0 101 0 0 0 606 
0 0 0 0 0 0 
0 7 5 10 43 39 
1 8 6 1 0 153 
0 2 0 1 0 27 
0 2 0 0 0 20 
0 2 0 1 0 32 
0 2 1 1 2 48 
0 8 0 10 11 126 
0 301 429 205 1150 319 
0 1 1 8 0 108 
0 6 0 0 0 46 
0 91 133 165 744 1157 
1 5 1 7 0 63 
0 1 0 0 0 40 
0 3 0 0 0 20 
0 2 0 1 2 28 
0 20 2 5 99 52 
0 0 0 0 0 0 
0 10 0 34 34 721 
0 0 0 0 0 0 
0 13 0 102 20 1194 
0 2 0 0 0 24 
0 4 0 2 0 72 
2 40 0 12 0 122 
0 8 0 0 0 50 
0 0 0 2 0 16 
0 0 0 0 0 0 
1 100 0 10 308 1823 
0 68 3 0 0 2862 
1 14 0 6 16 100 
0 3 2 0 6 52 
0 2 4 0 8 149 
0 11 0 0 18 292 
0 2 2 0 2 43 
0 3 0 1 0 118 
0 12 0 9 214 531 
0 0 0 0 0 0 
0 8 0 1 62 239 
0 1 0 0 0 0 
0 3 18 4 6 112 
0 70 35 25 247 107 
0 2 0 9 0 50 
0 8 0 0 0 24 
0 17 6 22 70 752 
0 130 120 40 220 588 
0 2 0 0 0 100 
0 4 0 2 8 14 
0 4 0 2 0 56 
0 0 0 0 0 0 
0 2 1 0 288 756 
0 0 0 0 0 0 
0 1 2 3 68 37 
0 4 23 3 0 40 
0 24 21 2 1 754 
0 88 8 0 0 1024 
0 13 2 0 0 142 
0 0 0 0 0 0 
0 3 0 1 0 26 
0 0 0 0 0 0 
0 3 0 1 0 24 
0 2 0 0 6 22 
0 3 0 0 0 18 
0 2 1 1 0 38 
0 1 0 0 0 0 
0 63 0 28 112 169 
0 1 0 0 0 0 
0 2 17 2 41 72 
0 3 2 2 0 31 
0 2 0 0 0 24 
0 0 0 0 0 0 
0 699 139 681 6046 2931 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 1 0 0 0 0 
0 15 2 14 28 292 
0 42 254 53 290 819 
0 0 0 0 0 0 
0 3 0 0 0 34 
0 3 7 1 3 12 
0 0 29 17 30 40 
0 116 5 37 560 85 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 12 31 14 61 540 
0 42 33 96 0 1623 
0 6 2 33 9 157 
0 0 0 0 0 0 
0 2 0 0 0 16 
0 4 0 0 0 32 
0 7 5 0 1 64 
0 3 0 0 0 80 
0 44 5 22 0 556 
0 8 0 0 0 56 
0 152 0 0 648 1094 
0 117 3 3 705 1926 
0 0 0 0 0 0 
0 0 0 0 0 0 
0 0 0 0 0 6 
0 0 0 0 0 4 
0 352 176 0 66 10492 
0 907 413 276 1510 7174 
0 2 2 6 6 86 
0 99 0 0 10 983 
0 62 18 27 0 588 
0 5 0 1 0 32 
0 48 0 0 0 442 
0 0 0 0 0 0 
0 0 1 529 0 7432 
0 26 12 17 74 171 
0 36 20 19 67 265 
0 9 2 4 24 158 
0 0 0 0 0 0 
0 214 134 83 819 388 
0 61 36 56 195 815 
0 138 9 75 240 1096 
0 0 0 0 0 0 
0 2 0 0 0 22 
0 0 0 0 0 0 
0 66 236 35 219 223 
0 18 9 51 50 590 
0 122 0 54 0 1680 
0 26 0 12 0 378 
0 941 0 434 0 8253 
0 90 0 30 0 936 
0 4 0 0 0 30 
0 7 4 4 20 50 
0 241 24 113 1898 431 
0 44 10 31 296 466 
0 161 11 58 966 203 
0 1 0 256 0 1799 
0 0 0 0 0 0 
0 0 0 2 0 10 
0 2 0 1 0 16 
0 0 0 3 0 26 
0 1 0 0 0 14 
0 0 0 0 0 0 
0 1 0 3 0 7 
0 12 17 9 49 69 
0 50 89 14 96 47 
0 5 44 4 18 32 
0 4 3 0 0 80 
0 4 3 1 0 107 
0 9 2 3 2 90 
0 5 0 2 8 36 
0 0 0 0 0 0 
